Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILEF1288,NOVEMBRE,"WORDS OF INDIGO (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3670
VILELP1292,ULVER,"THEMES FROM WILLIAM BLAKE`S THE MARRIAGE OF HEAVEN AND HELL (2LP)",2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,3671
KSCOPE3044,ULVER,"CHILDHOOD`S END (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3672
SMACD1328,W.A.S.P.,"THE BEST OF THE BEST (CD)",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,3673
CDVILED1293,DARKTHRONE,"F.O.A.D. (CD)",CD,1,0,0,Jewel,20pp,,,,0,,SP,,3674
CDVILED1294,PENTAGRAM,"CURIOUS VOLUME (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3675
CDVILED1295,AKERCOCKE,"RENAISSANCE IN EXTREMIS (CD)",CD,1,0,0,Jewel,12pp,,,,0,,SP,,3676
VILELP1296,"NAPALM DEATH","ORDER OF THE LEECH (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3677
SMACDX1329,W.A.S.P.,"DOUBLE LIVE ASSASSINS (2CD)",2CD,2,0,0,Brilliant,12pp,,,,0,,SP,,3678
SMALP1328,W.A.S.P.,"THE BEST OF THE BEST (2LP)",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,3679
SMALP1330,"RICK WAKEMAN","MELANCHOLIA (LP)",LP,1,0,0,Single,,140,33,Black,0,,TAKT,,3680
SMALP1331,"RICK WAKEMAN","MELANCHOLIA (SILVER LP)",LP,1,0,0,Single,,140,33,Silver,0,,TAKT,,3681
KSCOPE3045,"TANGERINE DREAM","RAUM (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3682
KSCOPE3035,TESSERACT,"RADAR O.S.T. (2CD)",2CD,2,0,0,Digipack6,16pp,,,,0,,SP,,3683
KSCOPE1273,TESSERACT,"RADAR O.S.T. (2LP)",2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,3684
VILELP1252,"CARPATHIAN FULL MOON","SERENADES IN BLOOD MINOR (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3685
CDVILEF1270,MORTEM,"MORKETID (CD)",CD,1,0,0,Jewel,12pp,,,,0,,VDC,,3686
SMABX1278,"THE PRETTY THINGS","PRETTY RARE (EARBOOK)",MixBoxSet,12,0,0,"Ear book",,,,,0,,TAKT,,3687
VILELP1300,THERGOTHON,"STREAM FROM THE HEAVENS (30TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,Marble,0,"Purple + Red Gold",OPTIMAL,,3688
KSCOPE3036,GAZPACHO,"MAGIC 8 BALL (CD)",CD,1,0,0,Digipack4,24pp,,,,0,,SP,,3689
SMACD1330,"RICK WAKEMAN","MELANCHOLIA (CD)",CD,1,0,0,Digipack4,6pp,,,,0,,SP,,3690
KSCOPE1271,GAZPACHO,"MAGIC 8 BALL (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3691
KSCOPE1272,GAZPACHO,"MAGIC 8 BALL (SPARKLE LP)",LP,1,0,0,Single,,140,33,,0,Sparkle,OPTIMAL,,3692
SMACD1325,"SPOCK`S BEARD","THE ARCHAEOPTIMIST (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3693
SMALP1325,"SPOCK`S BEARD","THE ARCHAEOPTIMIST (2LP)",2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,3694
SMALP1326,"SPOCK`S BEARD","THE ARCHAEOPTIMIST (RED 2LP)",2LP,2,0,0,Gatefold,,140,33,Red,0,,TAKT,,3695
VILELP1304,ABSCESS,"DAWN OF INHUMANITY (RED LP)",LP,1,0,0,Single,,140,33,Red,0,,OPTIMAL,,3696
KSCOPE3046,TESSERACT,"RADAR (BD/2CD)",MixBoxSet,3,0,0,"Media book",48pp,,,,0,"Initial order: 2,000 units",TAKT,,3697
KSCOPE1279,TESSERACT,"RADAR O.S.T. (TRANS ORANGE 2LP)",2LP,2,0,0,Gatefold,,140,33,Orange,0,,TAKT,,3698
KSCOPE3047,TESSERACT,"RADAR (BluRay)",Blu-ray,1,0,0,Amaray,16pp,,,,0,,TAKT,,3699
VILELP1302,CANCER,"DEATH SHALL RISE (LP)",LP,1,0,0,Single,,140,33,Black,0,,SP,,3700
VILELP1303,CANCER,"TO THE GORY END (LP)",LP,1,0,0,Single,,140,33,Black,0,,SP,,3701
CDVILEF1305,DARKTHRONE,"PRE-HISTORIC METAL (CD)",CD,1,0,0,Jewel,12pp,,,,0,,VDC,,3702
VILELP1305,DARKTHRONE,"PRE-HISTORIC METAL (LP)",LP,1,0,0,Single,,140,33,Black,0,,TAKT,,3703
VILELP108,"VITAL REMAINS","INTO COLD DARKNESS (30TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,"Dark Green",0,,OPTIMAL,,3704
VILELP1317,GODKILLER,"DELIVERANCE (25TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,,0,Oxblood,OPTIMAL,,3705
CDVILED1317,GODKILLER,"DELIVERANCE (25TH ANNIVERSARY CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3706
KSCOPE1281,TESSERACT,"RADAR O.S.T. (LAGOON 2LP)",2LP,2,0,0,Gatefold,,140,33,,0,"Transparent Violet + Transparent Blue + Black + White",TAKT,,3707
VILELP1311,SIGH,"INFIDEL ART (LP)",LP,1,0,0,Single,4pp,140,33,Black,0,,OPTIMAL,,3708
VILELP1314,SIGH,"INFIDEL ART (MARBLE LP)",LP,1,0,0,Single,4pp,140,33,Marble,0,"White + Light Blue + Blue",OPTIMAL,,3709
CDVILED1311X,SIGH,"INFIDEL ART (2CD)",2CD,2,0,0,Brilliant,12pp,,,,0,,VDC,,3710
SMACD1333,"SPOCK`S BEARD","THE ARCHAEOPTIMIST (CD/DVD)",CD+DVD,2,0,0,Digipack6,8pp,,,,0,,SP,,3711
KSCOPE1280,"TANGERINE DREAM","50 YEARS OF PHAEDRA: AT THE BARBICAN (3LP)",3LP,3,0,0,Gatefold,8pp,140,33,Black,0,,TAKT,,3712
KSCOPE776,"PAUL DRAPER","MANSUN RETOLD (CD)",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,3713
KSCOPE1125,"PAUL DRAPER","MANSUN RETOLD (SPLATTER LP)",LP,1,0,0,Single,,140,33,,0,,OPTIMAL,,3714
KSCOPE3048,"TANGERINE DREAM","50 YEARS OF PHAEDRA: AT THE BARBICAN (2CD)",2CD,2,0,0,Digipack6,12pp,,,,0,,SP,,3715
KSCOPE1282,"PAUL DRAPER","MANSUN RETOLD (CRYSTAL CLEAR)",LP,1,0,0,Single,,140,33,Clear,0,,OPTIMAL,,3716
KSCOPE1283,"TANGERINE DREAM","50 YEARS OF PHAEDRA: AT THE BARBICAN (COKE 3LP)",3LP,3,0,0,Gatefold,8pp,140,33,Green,0,,TAKT,,3717
VILELP1323,NOVEMBRE,"THE BLUE (LP)",LP,1,0,0,Single,,140,33,,0,,OPTIMAL,,3718
CDVILEF1312,"STATIC ABYSS","THE DYING HUNT (CD)",CD,1,0,0,Jewel,12pp,,,,0,,VDC,,3719
VILELP1312,"STATIC ABYSS","THE DYING HUNT (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3720
CDVILED1324X,SIGH,"GHASTLY FUNERAL THEATRE (2CD)",2CD,2,0,0,Brilliant,8pp,,,,0,,VDC,,3721
VILELP1324,SIGH,"GHASTLY FUNERAL THEATRE (LP)",LP,1,0,0,Single,,140,45,Black,0,,OPTIMAL,,3722
SMACD1334,"RICK WAKEMAN","MELANCHOLIA (CD/DVD)",CD+DVD,1,0,0,Digipack6,6pp,,,,0,,SP,,3723
CDVILED1304,ABSCESS,"DAWN OF INHUMANITY (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3724
