Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILED653,AUTOPSY,"CRITICAL MADNESS: THE DEMO YEARS",CD,1,0,0,Jewel,8pp,,,,0,OBI,VDC,,2086
CDVILED753,"MY DYING BRIDE","FEEL THE MISERY",CD,1,0,0,Digipack4,16pp,,,,0,"Initial 2K Overstickered CDVILEF493",SP,,2087
CDVILED754,PENTAGRAM,"CURIOUS VOLUME",CD,1,0,0,Digipack4,12pp,,,,0,"Initial 2.7K Overstickered CDVILEF554",SP,,2088
CDVILED755,KATATONIA,"THE FALL OF HEARTS",CD,1,0,0,Digipack4,16pp,,,,0,"Initial 2.7K Overstickered CDVILEF548",SP,,2089
VILELP756,DARKTHRONE,PANZERFAUST,"LP Picture Disc",1,0,0,Single,,,,"Picture Disc",0,,OPTIMAL,,2090
VILELP757,EVOKEN,"ANTITHESIS OF LIGHT",2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,2091
CDVILED758,"CRADLE OF FILTH","BITTER SUITES TO SUCCUBI",CD,1,0,0,Jewel,12pp,,,,0,OBI,VDC,,2092
CDVILED759,"CRADLE OF FILTH","DARKLY DARKLY VENUS AVERSA",CD,1,0,0,Jewel,12pp,,,,0,OBI,VDC,,2093
CDVILED760,"CRADLE OF FILTH","THE MANTICORE & OTHER HORRORS (CD)",CD,1,0,0,Jewel,8pp,,,,0,"Initial 800 Overstickered CDVILEF409",OPTIMAL,,2094
KSCOPE998,"STEVEN WILSON","HAND. CANNOT. ERASE.",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2095
VILELP761,BLOODBATH,"UNBLESSING THE PURITY (10`` EP)",LP,1,0,0,Single,,100,45,Black,0,,OPTIMAL,,2096
KSCOPE627,"ED WYNNE","SHIMMER INTO NATURE",CD,1,0,0,Digipack4,,,,,0,,SP,,2097
KSCOPE1004,"ED WYNNE","SHIMMER INTO NATURE",LP,1,0,0,Gatefold,,180,33,Black,0,,TAKT,,2098
VILELP764,AUTOPSY,"RETRIBUTION FOR THE DEAD",12``,1,0,0,Single,,140,45,Black,0,,TAKT,,2099
VILELP765,"DEVIATED INSTINCT","GUTTURAL BREATH",LP,1,0,0,Single,,180,33,Black,0,,TAKT,,2100
KSCOPE1000,"THE PINEAPPLE THIEF","DISSOLUTION (RED VINYL)",LP,1,0,0,Single,,180,33,Red,0,,OPTIMAL,,2101
CDVILED767,"DHG (DODHEIMSGARD)","A UMBRA OMEGA",CD,1,0,0,Jewel,16pp,,,,0,,SP,,2102
VILELP759,"CRADLE OF FILTH","DARKLY DARKLY VENUS AVERSA",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2103
KSCOPE1002,BLACKFIELD,"OPEN MIND: THE BEST OF BLACKFIELD",2LP,2,0,0,Gatefold,,140,33,Orange,0,"Etching D side",OPTIMAL,,2104
VILELP768,CANDLEMASS,"CANDLEMASS LIVE",2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,2106
KSCOPE1003,BLACKFIELD,"OPEN MIND: THE BEST OF BLACKFIELD",2LP,2,0,0,Gatefold,,140,33,White,0,"Etching D side",OPTIMAL,,2107
VILELP769,CANDLEMASS,"DYNAMO DOOM",LP,1,0,0,Single,,180,33,Gold,0,,TAKT,,2108
CDVILED768,CANDLEMASS,"CANDLEMASS LIVE",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2109
VILELP766,"DEVIATED INSTINCT","ROCK `N` ROLL CONFORMITY",LP,1,0,0,Single,,180,33,Black,0,,TAKT,,2110
EBVILE018,BLOODBATH,"THE ARROW OF SATAN IS DRAWN",MixBoxSet,2,0,0,Gatefold,,40,33,Black,0,"CD + 7"" with poster in slipcase",OPTIMAL,,2112
KSCOPE1012,"RICHARD BARBIERI",VARIANTS.1+2,2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,2113
KSCOPE1034,"RICHARD BARBIERI",VARIANTS.3+4,2LP,2,0,0,Gatefold,2pp,180,33,Black,0,,OPTIMAL,,2114
KSCOPE1005,"RICHARD BARBIERI",VARIANTS.5,LP,1,0,0,Single,2pp,180,33,Black,0,,OPTIMAL,,2115
SMACDX1128,"NODENS ICTUS","THE COZMIC KEY",CD,1,0,0,Digipack4,,,,,0,,SP,,2116
SFILMLP002,"ORIGINAL SOUNDTRACK","THE WIZARD OF OZ - OST",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2117
SFILMLP003,"ORIGINAL SOUNDTRACK","SINGIN` IN THE RAIN - OST",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2118
KSCOPE608,IAMTHEMORNING,"OCEAN SOUNDS",CD+Blu-ray,1,0,0,Digipack6,8pp,,,,0,,OPTIMAL,,2119
KSCOPE628,ANATHEMA,"INTERNAL LANDSCAPES 2008-2018",CD,1,0,0,Digipack4,16pp,,,,0,,OPTIMAL,,2120
KSCOPE1017,ANATHEMA,"INTERNAL LANDSCAPES 2008-2018",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2121
KSCOPE1009,ANATHEMA,"INTERNAL LANDSCAPES 2008-2018 (CLEAR RED VINYL)",2LP,2,0,0,Gatefold,,140,33,"Clear Red",0,,OPTIMAL,,2122
KSCOPE1013,ANATHEMA,"INTERNAL LANDSCAPES 2008-2018 (CLEAR BLUE VINYL)",2LP,2,0,0,Gatefold,,140,33,"Light Blue",0,,OPTIMAL,,2123
KSCOPE630,"WHITE MOTH BLACK BUTTERFLY","ATONE (EXPANDED EDITION)",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2124
VILELP783,BLOODBATH,"THE ARROW OF SATAN IS DRAWN (CRYSTAL CLEAR VINYL)",LP,1,0,0,Gatefold,,180,33,Clear,0,,OPTIMAL,,2125
VILELP777,BLOODBATH,"THE ARROW OF SATAN IS DRAWN (SILVER VINYL)",LP,1,0,0,Gatefold,,180,33,Silver,0,,OPTIMAL,,2126
VILELP790,BLOODBATH,"THE ARROW OF SATAN IS DRAWN (RED VINYL - OMERCH EXCLUSIVE)",LP,1,0,0,Gatefold,,180,33,Red,0,,OPTIMAL,,2127
KSCOPE1016,BLACKFIELD,"OPEN MIND: THE BEST OF BLACKFIELD",2LP,2,0,0,Gatefold,,140,33,Yellow,0,,OPTIMAL,,2128
CDVILED778,FLEURETY,"MIN TID SKAL KOMME",CD,1,0,0,Jewel,8pp,,,,0,,OPTIMAL,,2129
KSCOPE1006,ANATHEMA,"INTERNAL LANDSCAPES 2008-2018 (CLEAR VINYL)",2LP,2,0,0,Gatefold,,140,33,Clear,0,,OPTIMAL,,2131
KSCOPE1007,"PAUL DRAPER PRESENTS","ATTACK OF THE GREY LANTERN - LIVE AT THE RITZ",2LP,2,0,0,"Wide Spine",,140,33,Black,1,,OPTIMAL,,2132
VILELP780,CANCER,"SHADOW GRIPPED (RED VINYL)",LP,1,0,0,Single,,180,33,Red,0,,TAKT,,2133
VILELP763,CANCER,"SHADOW GRIPPED",LP,1,0,0,Single,,180,33,Black,0,,TAKT,,2134
CDVILEF763,CANCER,"SHADOW GRIPPED",CD,1,0,0,Jewel,12pp,,,,0,,SP,,2135
SMABX1126,FAMILY,"AT THE BBC",MixBoxSet,8,0,0,"Ear book",48pp,,,,0,"in slipcase and with poster",OPTIMAL,,2136
VILEMC741,BLOODBATH,"THE ARROW OF SATAN IS DRAWN",Cassette,1,0,0,Single,,,,,0,"Plastic case - Inlay with 3 flaps",Fairview,,2137
VILELP727,CANDLEMASS,"ANCIENT DREAMS",LP,1,0,0,Single,,,,"Picture Disc",0,,CSV,,2139
K10YR,"VARIOUS ARTISTS","10 YEARS OF KSCOPE",CD,1,0,0,Other,,,,,0,Wallet,OPTIMAL,,2141
VILELP778,FLEURETY,"MIN TID SKAL KOMME",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2142
SMALP1127,"WISHBONE ASH","LIVE AT GLASGOW APOLLO 77",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2143
SMACD1127,"WISHBONE ASH","LIVE AT GLASGOW APOLLO 77",CD,1,0,0,SleevePac,,,,,0,,OPTIMAL,,2144
KSCOPE1008,"THE PINEAPPLE THIEF","WHAT WE HAVE SOWN",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2145
CDVILED784,BEHEMOTH,"ABYSSUS ABYSSUM INVOCAT",CD,1,0,0,Jewel,8pp,,,,0,,SP,,2146
KSCOPE1010,"THE PINEAPPLE THIEF","YOUR WILDERNESS",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2147
VILELP779,"OBTAINED ENSLAVEMENT",WITCHCRAFT,LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2148
KSCOPE545,MANSUN,SIX,MixBoxSet,4,0,0,"Ear book",,,,,0,"3CD + DVD-V - 48 page hardback book",OPTIMAL,,2149
KSCOPE1011,MANSUN,"SIX (Black Vinyl)",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2151
KSCOPE1014,O.R.K.,RAMAGEHEAD,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2152
KSCOPE637,O.R.K.,RAMAGEHEAD,CD,1,0,0,SleevePac,12pp,,,,0,"Poster Book",OPTIMAL,,2153
KSCOPE1023,NOSOUND,"ALLOW YOURSELF",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2155
CHARLYF847,"SMALL FACES","GREATEST HITS - THE IMMEDIATE YEARS 1967 - 1969",CD,1,0,0,SleevePac,16pp,,,,0,,TAKT,,2157
CHARLYL183,GONG,"FLYING TEAPOT",LP,1,0,0,Gatefold,16pp,180,33,Clear,0,,OPTIMAL,,2158
CHARLYP305,GONG,"FLYING TEAPOT",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2159
CHARLYL184,GONG,"ANGELS EGG",LP,1,0,0,Gatefold,,180,33,Clear,0,,OPTIMAL,,2163
CHARLYP306,GONG,"ANGELS EGG",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2164
CHARLYL314,"NORTHERN SOUL","CLUB CLASSICS (MORRISON`S EXCLUSIVE)",2LP,2,0,0,Gatefold,,140,33,Yellow,0,,OPTIMAL,,2167
IALP1RSD2019,"13TH FLOOR ELEVATORS","THE PSYCHEDELIC SOUNDS OF THE 13TH FLOOR ELEVATORS (PICTURE DISC)","LP Picture Disc",1,0,0,Single,,,,"Picture Disc",0,,CSV,,2168
KSCOPE1024,TESSERACT,POLARIS,2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2169
KSCOPE1025,GAZPACHO,"TICK TOCK",LP+7``,2,0,0,Single,,140,,Black,0,,OPTIMAL,,2170
KSCOPE1026,"RICHARD BARBIERI","THINGS BURIED",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2171
KSCOPE1027,"RICHARD BARBIERI","STRANGER INSIDE",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2172
KSCOPE1028,"THE PINEAPPLE THIEF","SOMEONE HERE IS MISSING",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2173
VILELP789,OBLITERATION,"PERPETUAL DECAY",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2174
KSCOPE1030,ANATHEMA,UNTOUCHABLE,2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2176
KSCOPE1032,MANSUN,"LEGACY EP",12``,1,0,0,Single,Other,140,33,Red,0,"OBI wrap",OPTIMAL,,2177
KSCOPE639,GONG,"REJOICE! I`M DEAD!",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2182
KSCOPE640,"CRIPPLED BLACK PHOENIX","THE RESURRECTIONISTS",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2183
KSCOPE641,"CRIPPLED BLACK PHOENIX","NIGHT RAIDER",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2184
KSCOPE1031,"CRIPPLED BLACK PHOENIX","NIGHT RAIDER",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2185
KSCOPE642,KATATONIA,"DETHRONED & UNCROWNED",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2187
KSCOPE1015,IAMTHEMORNING,"THE BELL",LP,1,0,0,Gatefold,4pp,180,33,Black,0,"4pp 'poster' book",OPTIMAL,,2188
KSCOPE638,IAMTHEMORNING,"THE BELL",CD,1,0,0,SleevePac,16pp,,,,0,,OPTIMAL,,2189
CDVILED794,DODHEIMSGARD,"KRONET TIL KONGE",CD,1,0,0,Jewel,8pp,,,,0,OBI,SP,,2190
CHARLYL313,"THE TRASHMEN","SURFIN` BIRD - THE VERY BEST OF THE TRASHMEN",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2193
CHARLYP313,"THE TRASHMEN","SURFIN` BIRD - THE BEST OF THE TRASHMEN",CD,1,0,0,Jewel,8pp,,,,0,,SP,,2194
SMABX1091,"GENTLE GIANT","UNBURIED TREASURE",MixBoxSet,30,0,0,BoxSet,,,,,0,"30 Discs, Hardback Book, Gig Compendium, Jigsaw, Signed Photo, 2 Posters, Mask, Tour Programme",CSV,,2195
KSCOPE1033,O.R.K.,RAMAGEHEAD,LP,1,0,0,Single,,180,33,Clear,0,,OPTIMAL,,2196
VILELP586,"SHIP OF FOOLS","CLOSE YOUR EYES (FORGET THE WORLD)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2197
VILELP604,"CRADLE OF FILTH","MIDNIGHT IN THE LABYRINTH",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2198
SMACDX1142,"THE PRETTY THINGS","GET THE PICTURE?",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2200
SMACDX1144,"PRETTY THINGS",PARACHUTE,CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2201
SMACDX1143,"THE PRETTY THINGS",EMOTIONS,CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2202
KSCOPE1036,MANSUN,"SIX (Blue Vinyl)",2LP,2,0,0,Gatefold,,180,33,Blue,0,,OPTIMAL,,2203
KSCOPE1066,MANSUN,"SIX (Clear Vinyl)",2LP,2,0,0,Gatefold,,180,33,Clear,0,,OPTIMAL,,2204
KSCOPE1054,MANSUN,"SIX (Green Vinyl)",2LP,2,0,0,Gatefold,,180,33,Green,0,,OPTIMAL,,2205
KSCOPE666,MANSUN,SIX,CD,1,0,0,SleevePac,20pp,,,,0,,OPTIMAL,,2208
CDVILED797,"MY DYING BRIDE","FOR LIES I SIRE",CD,1,0,0,Jewel,12pp,,,,0,,SP,,2209
CDVILED798,"THE GATHERING",ALWAYS...,CD,1,0,0,Jewel,8pp,,,,0,,OPTIMAL,,2211
CDVILED642,"ROTTING CHRIST","THY MIGHTY CONTRACT",CD,1,0,0,Jewel,8pp,,,,0,,SP,,2213
KSCOPE643,"NORTH ATLANTIC OSCILLATION","GRIND SHOW",CD,1,0,0,Digipack6,,,,,0,,OPTIMAL,,2214
KSCOPE1035,"NORTH ATLANTIC OSCILLATION","GRIND SHOW",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2215
CHARLYL317,"NORTHERN SOUL","SHADES OF SOUL",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2216
CDVILEDX645,MAYHEM,"LIVE IN SARPSBORG",CD+DVD,2,0,0,Brilliant,16pp,,,,0,,SP,,2218
CDVILEDX646,MAYHEM,"LIVE IN JESSHEIM",CD+DVD,2,0,0,Brilliant,16pp,,,,0,,OPTIMAL,,2219
KSCOPE1037,"TANGERINE DREAM","MACHU PICCHU",LP,1,0,0,Single,4pp,140,33,Yellow,0,,OPTIMAL,,2221
KSCOPE644,"LUNATIC SOUL",IMPRESSIONS,CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2222
SMACD1146,"STEVE HILLAGE",DUSSELDORF,2CD,2,0,0,Brilliant,16pp,,,,0,,SP,,2223
VILELP796,"MY DYING BRIDE","TOWARDS THE SINISTER",12``,1,0,0,Single,,180,33,Red,0,"Limited Edition Individually Numbered",OPTIMAL,,2224
SMALP1145,"PETER GREEN","THE BEST OF PETER GREEN SPLINTER GROUP",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2225
SMACDX1145,"PETER GREEN","THE BEST OF PETER GREEN SPLINTER GROUP",CD,1,0,0,Digipack4,,,,,0,,OPTIMAL,,2226
VILELP799,MORK,"DET SVARTE JUV",LP,1,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,2228
CDVILEF799,MORK,"DET SVARTE JUV",CD,1,0,0,Jewel,12pp,,,,0,OBI,OPTIMAL,,2229
SMACDX1148,"ROGER CHAPMAN AND THE SHORTLIST","LIVE IN HAMBURG",2CD,2,0,0,Brilliant,8pp,,,,0,,SP,,2230
SMACDX1150,W.A.S.P.,HELLDORADO,CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2231
SMACDX1151,W.A.S.P.,"INSIDE THE ELECTRIC CIRCUS",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2232
KSCOPE645,"THE PINEAPPLE THIEF","YOUR WILDERNESS",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2233
SMACDX1149,W.A.S.P.,"THE LAST COMMAND",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2234
KSCOPE646,KLONE,"LE GRAND VOYAGE",CD,1,0,0,Digipack4,,,,,0,,OPTIMAL,,2235
KSCOPE1038,KLONE,"LE GRAND VOYAGE",LP,0,0,0,,,,,,0,,OPTIMAL,,2236
SMACDX1040,"OZRIC TENTACLES","TANTRIC OBSTACLES",CD,1,0,0,Digipack4,,,,,0,,OPTIMAL,,2237
CHARLYL307,"NORTHERN SOUL",ALL-DAYER,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2238
SMACDX1152,"OZRIC TENTACLES",STRANGEITUDE,CD,1,0,0,Digipack4,4pp,,,,0,,VDC,,2239
VILELP788,KATATONIA,"NIGHT IS THE NEW DAY",2LP,2,0,0,Gatefold,4pp,180,33,Red,0,,OPTIMAL,,2240
EBVILE019,KATATONIA,"NIGHT IS THE NEW DAY",MixBoxSet,1,0,0,"Ear book",48pp,100,45,Red,0,"2CD | DVD | 10""",OPTIMAL,,2242
SMALP1107,"OZRIC TENTACLES",PYRAMIDION,LP,1,0,0,Single,,140,33,Green,0,,OPTIMAL,,2243
KSCOPE1021,"DANIEL TOMPKINS",CASTLES,LP,1,0,0,Single,,180,,Black,0,,OPTIMAL,,2245
VILELP785,DARKTHRONE,"OLD STAR",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2246
CDVILEF785,DARKTHRONE,"OLD STAR",CD,1,1,0,Jewel,8pp,,,,0,,OPTIMAL,,2247
VILEMC785,DARKTHRONE,"OLD STAR",Cassette,1,0,0,Single,,,,,0,"Plastic case - Inlay with 3 flaps",Fairview,,2248
CDVILED804,MYSTICUM,"LOST MASTERS OF THE UNIVERSE",CD,1,0,0,Jewel,8pp,,,,0,,OPTIMAL,,2249
CDVILED803,"CRADLE OF FILTH","EVERMORE DARKLY",CD,1,0,0,Jewel,12pp,,,,0,,SP,,2250
KSCOPE1039,GONG,"THE UNIVERSE ALSO COLLAPSES",LP,1,0,0,Single,,180,,Pink,0,,OPTIMAL,,2253
KSCOPE634,GONG,"THE UNIVERSE ALSO COLLAPSES",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2254
KSCOPE1020,GONG,"THE UNIVERSE ALSO COLLAPSES",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2256
SMACDX1156,"OZRIC TENTACLES","THE YUMYUM TREE",CD,1,0,0,Jewel,4pp,,,,0,,OPTIMAL,,2257
SMACDX1135,"FLEETWOOD MAC","BOSTON VOLUME 1",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2258
SMACDX1136,"FLEETWOOD MAC","BOSTON VOLUME 2",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2259
SMACDX1137,"FLEETWOOD MAC","BOSTON VOLUME 3",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2260
CHARLYL319,"JERRY LEE LEWIS","GREATEST HITS (ASDA Father's Day exclusive)",LP,1,0,0,Single,,180,33,Green,0,,OPTIMAL,,2261
EBVILE020,DARKTHRONE,"OLD STAR","7`` x 3",3,0,0,BoxSet,2pp,40,,,0,"3 x 7"" (black, white, clear) + 3 x 2pp inserts",OPTIMAL,,2262
VILELP807,DARKTHRONE,"OLD STAR (Purple Vinyl)",LP,1,0,0,Single,,180,33,Purple,0,,OPTIMAL,,2263
VILELP821,DARKTHRONE,"OLD STAR (Green Vinyl)",LP,1,0,0,Single,,180,33,Green,0,,OPTIMAL,,2264
VILELP836,DARKTHRONE,"OLD STAR (Orange Vinyl)",LP,1,0,0,Single,,180,33,Orange,0,,OPTIMAL,,2265
VILELP814,DARKTHRONE,"OLD STAR (Picture Disc)",LP,1,0,0,Single,,,33,"Picture Disc",0,,OPTIMAL,,2266
SMACDX1038,"PETER GREEN SPLINTER GROUP","SOHO LIVE - AT RONNIE SCOTT`S",2CD,2,0,0,Brilliant,8pp,,,,0,,SP,,2267
SMACDX1074,"PETER GREEN SPLINTER GROUP","DESTINY ROAD",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2268
SMACDX1073,"PETER GREEN SPLINTER GROUP","THE ROBERT JOHNSON SONGBOOK",CD,1,0,0,Digipack4,,,,,0,,OPTIMAL,,2269
SMALP1130,"PETER GREEN WITH NIGEL WATSON","HOT FOOT POWDER",LP,1,0,0,Single,,180,33,"Neon Yellow",0,,OPTIMAL,,2270
SMACDX1130,"PETER GREEN WITH NIGEL WATSON","HOT FOOT POWDER",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2271
SMACDX1075,"PETER GREEN SPLINTER GROUP","SPLINTER GROUP",CD,1,0,0,Digipack6,,,,,0,,OPTIMAL,,2272
KSCOPE1040,"PORCUPINE TREE","STUPID DREAM (BURNING SHED EXCLUSIVE)",2LP,2,0,0,Gatefold,,180,33,Green,0,,OPTIMAL,,2273
KSCOPE1041,"PORCUPINE TREE","THE SKY MOVES SIDEWAYS (BURNING SHED EXCLUSIVE)",2LP,2,0,0,Gatefold,,180,33,Red,0,,OPTIMAL,,2274
SMACD967,W.A.S.P.,"THE LAST COMMAND",2CD,2,0,0,"Media book",,,,,0,,TAKT,,2275
KSCOPE635,"DANIEL TOMPKINS",CASTLES,CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2276
CHARLYL318,"VAN MCCOY & FRIENDS",DANCIN',LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2277
CHARLYL320,"RED BIRD RECORDS","GO GIRLS: THE WOMEN OF RED BIRD (Sainsbury's Exclusive)",LP,1,0,0,Single,,180,33,Pink,0,,OPTIMAL,,2278
CDVILED808,"THE GATHERING","ALMOST A DANCE",CD,1,0,0,Jewel,,,,,0,,VDC,,2279
VILELP808,"THE GATHERING","ALMOST A DANCE",LP,1,0,0,Single,,180,33,Black,0,,TAKT,,2280
CDVILED810,"THE GATHERING",SOUVENIRS,CD,1,0,0,Jewel,,,,,0,,VDC,,2281
VILELP810,"THE GATHERING",SOUVENIRS,2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,2282
CDVILED812,"THE GATHERING",HOME,CD,1,0,0,Jewel,8pp,,,,0,,VDC,,2283
VILELP812,"THE GATHERING",HOME,2LP,2,0,0,Gatefold,,140,33,Black,0,,TAKT,,2284
CDVILED805,DARKTHRONE,"RAVISHING GRIMNESS",CD,1,0,0,Jewel,8pp,,,,0,OBI,SP,,2285
CDVILED806,DARKTHRONE,GOATLORD,CD,1,0,0,Jewel,8pp,,,,0,,SP,,2287
VILELP840,DARKTHRONE,"OLD STAR (White Vinyl)",LP,1,0,0,Single,,180,33,White,0,,OPTIMAL,,2288
SMACD1155,"STEVE HILLAGE","THE GOLDEN VIBE",CD,1,0,0,Digipack4,8pp,,,,0,,OPTIMAL,,2289
SMALP1155,"STEVE HILLAGE","THE GOLDEN VIBE",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2290
VILELP813,CANCER,BALLCUTTER,12``,1,0,0,Single,,140,33,Yellow,0,,TAKT,,2291
SMACDX1157,W.A.S.P.,"FIRST BLOOD LAST CUTS",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2292
KSCOPE647,GODSTICKS,EMERGENCE,CD,1,0,0,Digipack4,12pp,,,,0,,VDC,,2293
SMALP1157,W.A.S.P.,"FIRST BLOOD LAST CUTS",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2294
VILELP831,DARKTHRONE,"OLD STAR (Red Vinyl)",LP,1,0,0,Single,,180,33,Red,0,,OPTIMAL,,2295
VILELP827,DARKTHRONE,"OLD STAR (Gold Vinyl)",LP,1,0,0,Single,,180,33,Gold,0,,OPTIMAL,,2296
CHARLYL330,FUNKADELIC,"ONE NATION UNDER A GROOVE (HMV Father's Day exclusive)",LP,1,0,0,Gatefold,,180,33,Pink,0,,OPTIMAL,,2304
CHARLYL326,"SOUL SHACK","TIME & PLACE",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2305
KSCOPE648,IAMTHEMORNING,LIGHTHOUSE,CD,1,0,0,Digipack4,8pp,,,,0,"Use up KS352 print",SP,,2306
SMACDX1120,"IAN ANDERSON","HOMO ERRATICUS",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,2307
KSCOPE650,"TANGERINE DREAM","QUANTUM GATE",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2308
CHARLYL308,"NORTHERN SOUL",ALL-NIGHTER,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2309
VILELP771,MAYHEM,"HENHOUSE RECORDINGS",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2310
VILELP772,MAYHEM,"OUT FROM THE DARK",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2311
CHARLYL189,"CLUB SOUL","THE GOLDEN TORCH",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2312
CHARLYL331,"SUN RECORDS","THE BLUES CAME DOWN FROM MEMPHIS (HMV Father's Day exclusive)",LP,1,0,0,Single,,180,33,Blue,0,,OPTIMAL,,2313
KSCOPE1044,"THE PINEAPPLE THIEF","LITTLE MAN",2LP,2,0,0,"Wide Spine",,140,33,Black,0,,OPTIMAL,,2314
VILELP818,"MY DYING BRIDE","A MAP OF ALL OUR FAILURES",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2315
VILELP819,DARKTHRONE,"GOATLORD: ORIGINAL",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,2316
CHARLYD599,"CLUB SOUL","VOLUME 5 - WIGAN CASINO SOUL CLUB",CD,1,0,0,Digipack4,8pp,,,,0,,SP,,2317
VILELP822,KATATONIA,"DISCOURAGED ONES",2LP,2,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,2318
VILELP823,"MY DYING BRIDE","TOWARDS THE SINISTER",12``,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,2319
CDVILED824,"BARREN EARTH","THE DEVIL`S RESOLVE",CD,1,1,0,Jewel,16pp,,,,0,"Over stickered CDVILEF342X",OPTIMAL,,2320
CDVILED825,THINE,"THE DEAD CITY BLUEPRINT",CD,1,0,0,Jewel,20pp,,,,0,"Over stickered  CDVILEF427",OPTIMAL,,2321
